title,summary,license_type,arxiv_url,label
Gauge theories from scattering amplitudes with minimal assumptions,"We revisit the emergence of a Yang-Mills symmetry in theories with massless spin 1 particles from fundamental physical properties of scattering amplitudes. In the standard proofs, some symmetry and reality properties of the coupling constants in three-point amplitudes are assumed. These properties cannot be justified using only three-point amplitudes but we show that they arise as consequences of the consistent factorization of four-particle amplitudes, for particular choices of the particle basis. This applies to self-interactions of massless spin 1 particles and also to their interactions with spin 0 and 1/2 particles. CP invariance is a derived property, not an additional assumption. The situation for gravity interactions is analogous and it is dealt with in the same fashion.",CC-BY 4.0,http://arxiv.org/abs/2511.21664v1,human
"Updated bounds on the (1,2) neutrino oscillation parameters after first JUNO results","Within the standard $3ν$ framework, we discuss updated bounds on the leading oscillation parameters related to the $(ν_1,\,ν_2)$ states, namely, the squared mass difference $δm^2=m^2_2-m^2_1$ and the mixing parameter $\sin^2θ_{12}$. A previous global analysis of 2024 oscillation data estimated $δm^2$ and $\sin^2θ_{12}$ with fractional $1σ$ errors of about $2.3\%$ and $4.5\%$, respectively. First we update the analysis by applying the latest SNO+ constraints, that slightly shift the $(δm^2,\,\sin^2θ_{12})$ best fits. Then we apply the constraints placed by the first JUNO results, that significantly reduce the uncertainties of both parameters. Our updated global bounds (as of 2025) can be summarized as: $δm^2/10^{-5}{\rm eV}^2 = 7.48\pm 0.10$ and $\sin^2θ_{12}=0.3085\pm0.0073$ (with correlation $ρ=-0.20$), corresponding to $1σ$ uncertainties as small as $1.3\%$ and $2.4\%$, respectively. We also comment on minor physical and statistical effects that, in the future, may contribute to lift the current mass-ordering degeneracy of $(δm^2,\,θ_{12})$ estimates.",CC-BY 4.0,http://arxiv.org/abs/2511.21650v1,human
Cosmological Probes of Lepton Parity Freeze-in Dark Matter: $ΔN_{\rm eff}$ & Gravitational Waves,"In the canonical type-I seesaw mechanism for neutrino masses, a residual symmetry known as lepton parity: $(-1)^L$, remains preserved. Introducing a Majorana fermion $S$ with even lepton parity renders it naturally stable, making it a viable dark matter (DM) candidate. The addition of a lepton parity odd singlet scalar $σ$ allows for the coupling $N S σ$, where $N$ is the right-handed neutrino. If $S$ is not thermalized, then DM relic can be produced in two distinct ways: (i) for reheating temperature, $T_{\rm rh}>m_{N}$, dominantly through the decay of $N$ ($N\rightarrow Sσ$), and (ii) for $T_{\rm EW}<T_{\rm rh}\ll m_{N}$, via standard model Higgs ($h$) decay ($h\rightarrow SS$ at one loop). If the $σ-h$ quartic coupling is large, then it can lead to a strong first-order electroweak phase transition even if $\langleσ\rangle=0$. Alternatively, if $σ-h$ coupling is small, then $σ$ can freeze out with a larger abundance, and hence its decay ($σ\rightarrow Sν$) at late epochs can give rise to additional relativistic degrees of freedom ($Δ{N}_{\rm eff}$). Thus, the framework gives a viable DM with mass range varying from MeV to TeV and leaves observable imprints, via gravitational waves and $Δ{N}_{\rm eff}$, which offer complementary probes, potentially detectable in future gravitational wave and CMB experiments.",CC-BY 4.0,http://arxiv.org/abs/2511.21634v1,human
Freeze-in at Low Reheating and Direct Detection of Fermion Dark Matter,"We investigate a low-reheating-temperature freeze-in scenario within a minimal model of fermionic dark matter interacting through a pseudoscalar mediator. In this setup, dark matter is produced via the decay of the pseudoscalar, which remains in thermal equilibrium with the Standard Model bath. We derive the thermalization and non-thermalization conditions for the new fields and obtain the corresponding direct-detection constraints and projections on the model based on LZ and DARWIN experiments, respectively.",CC-BY 4.0,http://arxiv.org/abs/2511.21520v1,human
Bayesian Analysis of the Complex Singlet Model with Phase Transition Gravitational Waves,"We explore the prospects of probing the Complex Singlet Extension of the Standard Model (CxSM) with gravitational waves from the Electroweak phase transition. The study establishes a connection of the scalar potential parameters, the thermodynamic properties of the phase transition, with the directly measured stochastic gravitational-wave background in the presence of astrophysical background and foreground. Considering the space-based gravitational wave detector Taiji, we construct a frequency-domain likelihood that incorporates instrumental and astrophysical noises, and perform both Fisher-matrix forecasts and Bayesian Nested Sampling analysis. The comparison of these two approaches demonstrates consistent parameter recovery and highlights the sensitivity of Taiji to millihertz gravitational-wave signals. We further propagate the inferred constraints on the gravitational-wave spectrum back to the underlying CxSM parameters, obtaining meaningful limits on the Higgs self-couplings. The results emphasize the complementarity between gravitational-wave observations and collider measurements, showing that future missions such as Taiji can serve as a powerful probe of electroweak-scale new physics and the dynamical origin of the Higgs sector.",CC-BY 4.0,http://arxiv.org/abs/2511.21488v1,human
Weak gravity at micron scales from dark bubble cosmology and its cosmological consequences,"The dark bubble model makes a positive cosmological constant natural in string theory, and predicts several new physical phenomena within reach in the near future. In this paper we study the experimental consequences of the model for the strength of gravity at scales of order $10^{-5}$m. Contrary to other models of gravity involving extra dimensions, the dark bubble model predicts gravity to become weaker rather than stronger at small scales, compared to Newtonian gravity. In particular, we provide explicit predictions of measurable deviations using table top experiments. We also show how the same effect reduces the effective force of gravity at high energy densities in cosmology, leading to a period of early inflation without the need for anything beyond radiation. We also discuss the quantum origin of the universe with a 5D black hole acting as a catalyst for the nucleation of the dark bubble and how it accounts for the present matter content in the universe. This leads to a prediction of $Ω_c \approx 5\times 10^{-4}$ for a positive curvature of the universe, suggesting an explanation of the why-now-problem of the cosmological constant. We end by speculating on how to incorporate AdS black shells as black hole mimickers within the dark bubble model.",CC-BY 4.0,http://arxiv.org/abs/2511.21362v1,human
Effective LFV couplings at the electron-proton collider,"We estimate the accuracy with which the coefficient of the lepton flavour-violating dimension-six operators can be measured at the proposed electron-proton collider. Cuts-based analysis is performed to compute the signal significance at the centre of mass energy of 1.3 TeV, with a total integrated luminosity upto $\sim$ab$^{-1}$. Using the optimal observables method for the kinematic distributions, we study the sensitivity of the effective couplings. We also study the impact of the initial electron beam polarisation.",CC-BY 4.0,http://arxiv.org/abs/2511.21326v1,human
Exploring muonphilic dark matter with the $Z_2$-even mediator at muon colliders,"The Galactic Center GeV Excess (GCE) remains a compelling but enigmatic signal from the inner region of our galaxy. Muonphilic dark matter (DM), which couples exclusively to muons via a new mediator, provides a viable explanation for the GCE and relic density while naturally evading constraints from direct detection, collider searches and other multi-messenger observations. Based on the viable non-resonant parameter space identified in previous global fits, we perform a comprehensive study exploring the prospects for discovering such muonphilic DM in the context of a future $3$ TeV muon collider, focusing on simplified models with a $Z_2$-even mediator. Three distinct search strategies are investigated: visible on-shell mediator decays ($μ^{+}μ^{-}γ$ final state), invisible on-shell mediator decays (mono-photon plus missing energy), and mono-photon production via off-shell mediators. Through a detailed signal-background analysis using cut-and-count methods, we project the exclusion limits at $95\%$ confidence level for seven representative models across a wide range of mediator masses. Our results demonstrate that the projected limits cover a significant portion of the viable parameter space that explains the GCE, establishing a muon collider as a decisive machine for testing the muonphilic DM hypothesis.",CC-BY 4.0,http://arxiv.org/abs/2511.21290v1,human
Neutral Magnetic Monopole in the Standard Model,"The standard model has the electroweak monopole which has the magnetic charge $4π/e$, as a hybrid between the Dirac and 'tHooft-Polyakov monopoles. We argue that it may have new type of monopoles, in particular the neutral monopole (``the Z monopole"") which is electromagnetically neutral but has the neutral magnetic charge $4π/\be$, where $\be$ is the neutral charge. The mass of the new monopole could be less than the Cho-Maison monopole, around 3.28 TeV. We show how to construct the neutral monopole and clarify the origin of the topology of the new monopole. We discuss the implications of the new monopoles in physics.",CC-BY 4.0,http://arxiv.org/abs/2511.21174v1,human
Deuteron yields near the QCD phase transition,"We investigate the influence of QCD phase transition and critical fluctuations of the critical end point (CEP) on the deuteron yield within the functional renormalization group (fRG) approach, by using the nucleon coalescence model and a low energy effective field theory of quarks and mesons. It is found that the two-point baryon density correlation function is enhanced in a narrow region radiated from the CEP along the phase boundary. The deuteron yield arising from the two-point baryon correlation is small compared to the leading-order contribution, which is attributed to the fact that in the regime of low collision energy, i.e., the region of large baryon chemical potential, the freeze-out curves deviate from the critical region, resulting in that the enhancement of the deuteron yield stemming from the critical fluctuations near the CEP is mild.",CC-BY 4.0,http://arxiv.org/abs/2511.21117v1,human
